label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59
A,0.39221563935279846,-0.008532068692147732,-0.1012306734919548,0.7889675498008728,-0.36671504378318787,-0.09266496449708939,0.9907882809638977,-0.7972957491874695,-0.09405029565095901,1.0185275077819824,-1.0988914966583252,-0.056378960609436035,0.7069815397262573,-0.7896761894226074,0.12951374053955078,0.8009890913963318,-1.1172853708267212,-0.030713794752955437,0.6698467135429382,-0.770261824131012,-0.08974462747573853,0.6124686002731323,-0.644775390625,-0.09718818217515945,0.4809558689594269,-0.8688257932662964,0.11757214367389679,0.5785861611366272,-1.1472901105880737,-0.05638899281620979,0.4628686308860779,-0.7137210965156555,-0.06720606237649918,0.4412821829319,-0.6718828678131104,-0.016042238101363182,0.26260143518447876,-0.9034314751625061,0.058134227991104126,0.33202189207077026,-1.1097168922424316,-0.1256888061761856,0.24613437056541443,-0.6944862008094788,-0.05423693358898163,0.22857527434825897,-0.6563494205474854,0.051766108721494675,0.0368017815053463,-0.9323340058326721,-0.014327265322208405,0.09346446394920349,-1.0464402437210083,-0.09075965732336044,0.051165420562028885,-0.7480613589286804,-0.02129472605884075,0.021891474723815918,-0.7048107981681824,0.05856524035334587
A,0.4148918092250824,-0.01714634895324707,-0.10245303809642792,0.8056164979934692,-0.3657594919204712,-0.08707166463136673,1.0094153881072998,-0.7853348255157471,-0.0807911679148674,1.0063494443893433,-1.0861144065856934,-0.033239640295505524,0.7138092517852783,-0.7900407910346985,0.1665297895669937,0.793240487575531,-1.1111419200897217,0.013314692303538322,0.6663100123405457,-0.7513435482978821,-0.04722406342625618,0.6231921315193176,-0.6401791572570801,-0.057166796177625656,0.48292288184165955,-0.8609251976013184,0.15997889637947083,0.5751878619194031,-1.1405411958694458,-0.005991705227643251,0.46835857629776,-0.6988043189048767,-0.023465799167752266,0.460182249546051,-0.678723156452179,0.022110002115368843,0.2621748447418213,-0.8929128646850586,0.10409288108348846,0.322664737701416,-1.1052411794662476,-0.0761767253279686,0.24901455640792847,-0.6834298372268677,-0.014191636815667152,0.23891647160053253,-0.6598253846168518,0.0859372466802597,0.03419578820466995,-0.9219663739204407,0.03558291867375374,0.08477538824081421,-1.0408620834350586,-0.03515307605266571,0.0482366569340229,-0.7361089587211609,0.032704517245292664,0.019774653017520905,-0.6959600448608398,0.11164598166942596
A,0.405010849237442,-0.009798535145819187,-0.10355598479509354,0.8007568120956421,-0.35966756939888,-0.09099749475717545,1.0079526901245117,-0.786320149898529,-0.08742287009954453,1.0019992589950562,-1.093259572982788,-0.04325553774833679,0.7085087299346924,-0.7948337197303772,0.15573884546756744,0.7934513092041016,-1.1202853918075562,-0.003785829059779644,0.6700958609580994,-0.7633603811264038,-0.06855127960443497,0.6174032092094421,-0.6380537748336792,-0.08014735579490662,0.4775330126285553,-0.8659663796424866,0.14854103326797485,0.5724616646766663,-1.1466195583343506,-0.02373424917459488,0.4643866717815399,-0.7074946761131287,-0.04306440055370331,0.4463171064853668,-0.6721209287643433,0.0018077100394293666,0.2564469575881958,-0.8970277905464172,0.09224806725978851,0.31941384077072144,-1.1094319820404053,-0.0923905298113823,0.2442471981048584,-0.6882787942886353,-0.0308273546397686,0.22799085080623627,-0.6527785658836365,0.06953410804271698,0.025292135775089264,-0.9266679883003235,0.023286519572138786,0.07962296903133392,-1.0440058708190918,-0.053239040076732635,0.04229974374175072,-0.7384363412857056,0.011562410742044449,0.012712188065052032,-0.6937171220779419,0.0888228490948677
A,0.40065693855285645,0.004063738510012627,-0.10456886887550354,0.8061991930007935,-0.358730673789978,-0.09268108755350113,1.011436939239502,-0.7988792657852173,-0.08863164484500885,1.0079530477523804,-1.1042622327804565,-0.04373288154602051,0.7065174579620361,-0.8061037659645081,0.1353989988565445,0.7957683205604553,-1.1351687908172607,-0.03198523819446564,0.6714534759521484,-0.7690522074699402,-0.0966455489397049,0.6153683066368103,-0.6365748643875122,-0.10616549104452133,0.4681089520454407,-0.874461829662323,0.1272418051958084,0.5679771304130554,-1.1550263166427612,-0.05489743873476982,0.4572124481201172,-0.7044519186019897,-0.07156434655189514,0.43350949883461,-0.6600227355957031,-0.02216322161257267,0.24097049236297607,-0.9048760533332825,0.07084708660840988,0.3126661479473114,-1.1141345500946045,-0.1240570992231369,0.23194655776023865,-0.6801326870918274,-0.0573451928794384,0.21366968750953674,-0.641665518283844,0.04935874789953232,0.0072828675620257854,-0.9376170039176941,0.0025829109363257885,0.07084590196609497,-1.0492867231369019,-0.0796174630522728,0.027948331087827682,-0.7379025816917419,-0.011253152042627335,-0.0060935476794838905,-0.6994416117668152,0.06998191773891449
A,0.38621193170547485,0.012396522797644138,-0.1076928973197937,0.7974000573158264,-0.3568776547908783,-0.09528059512376785,0.9977100491523743,-0.7979162931442261,-0.08926286548376083,0.995459258556366,-1.0977658033370972,-0.042047128081321716,0.69501793384552,-0.8120483756065369,0.12194857001304626,0.7903550863265991,-1.1260265111923218,-0.04276483133435249,0.6639542579650879,-0.7581079602241516,-0.10088846832513809,0.6068373918533325,-0.6370894312858582,-0.1068488284945488,0.46060237288475037,-0.8801062107086182,0.11514561623334885,0.5668725967407227,-1.150185227394104,-0.06554736942052841,0.45378535985946655,-0.6914598345756531,-0.07404030114412308,0.426382452249527,-0.6619786620140076,-0.018333449959754944,0.23526178300380707,-0.9101651906967163,0.0604955218732357,0.31304189562797546,-1.1101917028427124,-0.13331051170825958,0.23238079249858856,-0.6706100106239319,-0.05943387374281883,0.2087382972240448,-0.6459723711013794,0.05157561972737312,0.0017975351074710488,-0.9441085457801819,-0.006567713804543018,0.07313000410795212,-1.0403202772140503,-0.0898769274353981,0.03088090755045414,-0.7257745862007141,-0.019452907145023346,-0.009132820181548595,-0.6965101361274719,0.06340737640857697
A,0.39275291562080383,0.0240840632468462,-0.10353542119264603,0.8183017373085022,-0.3606916666030884,-0.08204420655965805,1.0205597877502441,-0.8186593651771545,-0.06569262593984604,1.01128351688385,-1.1171772480010986,-0.007920748554170132,0.7098890542984009,-0.8064591884613037,0.12109934538602829,0.7997304201126099,-1.1317570209503174,-0.03609778359532356,0.6674515604972839,-0.7496271729469299,-0.09011895954608917,0.6192194819450378,-0.6382266283035278,-0.0971669927239418,0.4706335663795471,-0.8748303651809692,0.11478618532419205,0.5736106634140015,-1.1556750535964966,-0.05777410417795181,0.460423082113266,-0.690476655960083,-0.0648990124464035,0.43883195519447327,-0.6628566980361938,-0.013287081383168697,0.24160175025463104,-0.9074625968933105,0.06193355843424797,0.3160848319530487,-1.1187057495117188,-0.12606865167617798,0.23401105403900146,-0.6707678437232971,-0.05138727277517319,0.21086257696151733,-0.6437268853187561,0.055726952850818634,0.0054793693125247955,-0.948769211769104,-0.0027316210325807333,0.07514653354883194,-1.0489600896835327,-0.080742247402668,0.028410283848643303,-0.726441502571106,-0.008969517424702644,-0.01411269512027502,-0.6938443779945374,0.07104086875915527
A,0.39332371950149536,0.004563470371067524,-0.10535817593336105,0.8014166951179504,-0.36939552426338196,-0.08689942955970764,1.0003126859664917,-0.8079283237457275,-0.07411691546440125,0.99125736951828,-1.1073468923568726,-0.019178256392478943,0.6974647045135498,-0.8095047473907471,0.13372361660003662,0.7882119417190552,-1.123666524887085,-0.0226745642721653,0.6580588817596436,-0.7512359023094177,-0.07806951552629471,0.6059197187423706,-0.6399820446968079,-0.08438849449157715,0.4632740914821625,-0.8767350912094116,0.12927769124507904,0.5670046806335449,-1.150309681892395,-0.042857687920331955,0.4543766975402832,-0.6936051845550537,-0.05252432823181152,0.4299038052558899,-0.6695879697799683,0.00015251878357958049,0.23922987282276154,-0.9070013165473938,0.07707947492599487,0.3143569231033325,-1.1093056201934814,-0.10903148353099823,0.2369907647371292,-0.6708267331123352,-0.0402793362736702,0.2153545320034027,-0.6498668193817139,0.06561732292175293,0.007766085211187601,-0.9443941712379456,0.012853388674557209,0.0773569643497467,-1.0441683530807495,-0.06229747086763382,0.03875880315899849,-0.7300856709480286,0.006486409809440374,0.0003287881554570049,-0.7021915316581726,0.08614005893468857
A,0.39671674370765686,0.016261279582977295,-0.10876704007387161,0.8176697492599487,-0.36291101574897766,-0.09199000149965286,1.0253255367279053,-0.8115230202674866,-0.08026770502328873,1.0121465921401978,-1.11328125,-0.02587438002228737,0.7150612473487854,-0.7949288487434387,0.12337061017751694,0.8117108941078186,-1.1252570152282715,-0.03233226016163826,0.6716271042823792,-0.747260570526123,-0.08512963354587555,0.6231428980827332,-0.6415570974349976,-0.09178128838539124,0.4830498993396759,-0.867550253868103,0.11840320378541946,0.586351215839386,-1.1538041830062866,-0.05418286845088005,0.4675661325454712,-0.693860650062561,-0.060904361307621,0.4454892575740814,-0.6681896448135376,-0.008042954839766026,0.2592487037181854,-0.9013062715530396,0.06596505641937256,0.33277788758277893,-1.1158791780471802,-0.12025951594114304,0.24810124933719635,-0.6768612861633301,-0.047184478491544724,0.22483102977275848,-0.6531265377998352,0.05941558629274368,0.025259938091039658,-0.9417500495910645,0.0007690131897106767,0.09221352636814117,-1.0505330562591553,-0.07691161334514618,0.04628400132060051,-0.7344034910202026,-0.00731740752235055,0.006071668583899736,-0.6995240449905396,0.07176211476325989
A,0.3948763608932495,0.015104593709111214,-0.10718792676925659,0.799559473991394,-0.3549114763736725,-0.09428246319293976,1.0018101930618286,-0.8107656240463257,-0.08791307359933853,0.9966120719909668,-1.1189687252044678,-0.04103609547019005,0.6949066519737244,-0.8067558407783508,0.12941579520702362,0.7899301052093506,-1.1287158727645874,-0.028497150167822838,0.6653416752815247,-0.7563171982765198,-0.08505245298147202,0.6129221320152283,-0.6464397311210632,-0.09273754060268402,0.46375253796577454,-0.8772870302200317,0.12369725108146667,0.5769180059432983,-1.1545462608337402,-0.048883866518735886,0.46781885623931885,-0.6976181864738464,-0.05786780267953873,0.4363386631011963,-0.6766965389251709,-0.006194767076522112,0.24124109745025635,-0.9054720997810364,0.07027232646942139,0.32645097374916077,-1.114452600479126,-0.11584721505641937,0.25022900104522705,-0.6790840029716492,-0.043640993535518646,0.21850912272930145,-0.6575290560722351,0.06343352049589157,0.010064508765935898,-0.9392106533050537,0.004212286788970232,0.08927484601736069,-1.0458464622497559,-0.07055775076150894,0.05036986991763115,-0.733981192111969,0.0011345058446750045,0.0047353580594062805,-0.7036845088005066,0.08209104835987091
A,0.39944952726364136,0.003931555896997452,-0.10360889136791229,0.8082289695739746,-0.3686244785785675,-0.09297016263008118,1.0133616924285889,-0.8093847632408142,-0.09067723155021667,1.0001134872436523,-1.1146416664123535,-0.047646138817071915,0.7020961046218872,-0.8038343787193298,0.12206972390413284,0.8057761788368225,-1.1359785795211792,-0.040651023387908936,0.6746622323989868,-0.7636362910270691,-0.09808177500963211,0.6187262535095215,-0.6435669660568237,-0.10519364476203918,0.4710668623447418,-0.8750150799751282,0.11155568063259125,0.5805733799934387,-1.1572048664093018,-0.0663825199007988,0.46678632497787476,-0.7026180624961853,-0.07472235709428787,0.4357982575893402,-0.6675501465797424,-0.02092094160616398,0.24767090380191803,-0.9070795178413391,0.05375441536307335,0.3304527699947357,-1.1196988821029663,-0.1348598748445511,0.24800994992256165,-0.6840749979019165,-0.06093470752239227,0.2188955396413803,-0.6520259380340576,0.04827044531702995,0.011944670230150223,-0.9410282373428345,-0.01667873002588749,0.08845487236976624,-1.053969383239746,-0.09582913666963577,0.04616975411772728,-0.7446761131286621,-0.025542158633470535,0.0020106416195631027,-0.7071554064750671,0.055629730224609375
